GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
http,no.kristiania.pgr200.http.client,HttpResponse,0,68,0,0,0,15,0,6,0,6
http,no.kristiania.pgr200.http.client,HttpRequest,9,104,0,4,2,24,1,7,1,5
http,no.kristiania.pgr200.http.client,HttpIO,3,69,2,8,1,17,3,6,1,3
http,no.kristiania.pgr200.http.server,HttpEchoServer,19,209,2,2,10,51,2,9,1,8
http,no.kristiania.pgr200.http.server,HttpHeader,0,120,0,6,0,25,0,13,0,10
http,no.kristiania.pgr200.http.server,HttpQuery,47,131,4,8,12,29,5,12,3,8
http,no.kristiania.pgr200.http.server,HttpPath,0,86,0,4,0,16,0,10,0,8
